date,region,period,total_streams_millions,commute_share,home_share
2019-11-04,north_america,pre_lockdown,109.3,0.56832,0.43168
2019-11-05,north_america,pre_lockdown,110.66,0.58342,0.41658
2019-11-06,north_america,pre_lockdown,108.5,0.56317,0.43683
2019-11-07,north_america,pre_lockdown,108.72,0.56581,0.43419
2019-11-08,north_america,pre_lockdown,104.5,0.59317,0.40683
2019-11-09,north_america,pre_lockdown,107.16,0.51318,0.48682
2019-11-10,north_america,pre_lockdown,105.41,0.48632,0.51368
2019-11-11,north_america,pre_lockdown,106.01,0.57385,0.42615
2019-11-12,north_america,pre_lockdown,109.39,0.57082,0.42918
2019-11-13,north_america,pre_lockdown,112.1,0.5791,0.4209
2019-11-14,north_america,pre_lockdown,107.24,0.58954,0.41046
2019-11-15,north_america,pre_lockdown,107.45,0.56534,0.43466
2019-11-16,north_america,pre_lockdown,110.1,0.52808,0.47192
2019-11-17,north_america,pre_lockdown,109.4,0.51387,0.48613
2019-11-18,north_america,pre_lockdown,109.66,0.56316,0.43684
2019-11-19,north_america,pre_lockdown,106.31,0.59204,0.40796
2019-11-20,north_america,pre_lockdown,110.51,0.58164,0.41836
2019-11-21,north_america,pre_lockdown,110.22,0.56461,0.43539
2019-11-22,north_america,pre_lockdown,109.71,0.56682,0.43318
2019-11-23,north_america,pre_lockdown,106.76,0.51479,0.48521
2019-11-24,north_america,pre_lockdown,109.24,0.52485,0.47515
2019-11-25,north_america,pre_lockdown,108.8,0.56912,0.43088
2019-11-26,north_america,pre_lockdown,108.63,0.57233,0.42767
2019-11-27,north_america,pre_lockdown,103.99,0.58246,0.41754
2019-11-28,north_america,pre_lockdown,111.64,0.58013,0.41987
2019-11-29,north_america,pre_lockdown,108.69,0.56304,0.43696
2019-11-30,north_america,pre_lockdown,109.41,0.49225,0.50775
2019-12-01,north_america,pre_lockdown,107.87,0.51198,0.48802
2019-12-02,north_america,pre_lockdown,110.2,0.58168,0.41832
2019-12-03,north_america,pre_lockdown,109.12,0.57076,0.42924
2019-12-04,north_america,pre_lockdown,113.02,0.57336,0.42664
2019-12-05,north_america,pre_lockdown,110.06,0.57542,0.42458
2019-12-06,north_america,pre_lockdown,114.78,0.56775,0.43225
2019-12-07,north_america,pre_lockdown,109.31,0.49875,0.50125
2019-12-08,north_america,pre_lockdown,110.99,0.50761,0.49239
2019-12-09,north_america,pre_lockdown,108.51,0.57539,0.42461
2019-12-10,north_america,pre_lockdown,109.73,0.58486,0.41514
2019-12-11,north_america,pre_lockdown,109.07,0.58404,0.41596
2019-12-12,north_america,pre_lockdown,111.54,0.58862,0.41138
2019-12-13,north_america,pre_lockdown,108.13,0.57987,0.42013
2019-12-14,north_america,pre_lockdown,109.86,0.51618,0.48382
2019-12-15,north_america,pre_lockdown,109.25,0.49618,0.50382
2019-12-16,north_america,pre_lockdown,110.12,0.55831,0.44169
2019-12-17,north_america,pre_lockdown,111.82,0.58797,0.41203
2019-12-18,north_america,pre_lockdown,113.5,0.56657,0.43343
2019-12-19,north_america,pre_lockdown,110.1,0.57406,0.42594
2019-12-20,north_america,pre_lockdown,113.58,0.56886,0.43114
2019-12-21,north_america,pre_lockdown,109.35,0.52308,0.47692
2019-12-22,north_america,pre_lockdown,112.05,0.50508,0.49492
2019-12-23,north_america,pre_lockdown,109.63,0.55595,0.44405
2019-12-24,north_america,pre_lockdown,111.97,0.57431,0.42569
2019-12-25,north_america,pre_lockdown,111.59,0.58821,0.41179
2019-12-26,north_america,pre_lockdown,110.57,0.5804,0.4196
2019-12-27,north_america,pre_lockdown,113.1,0.58715,0.41285
2019-12-28,north_america,pre_lockdown,114.82,0.53379,0.46621
2019-12-29,north_america,pre_lockdown,111.7,0.49751,0.50249
2019-12-30,north_america,pre_lockdown,110.98,0.59878,0.40122
2019-12-31,north_america,pre_lockdown,109.79,0.57953,0.42047
2020-01-01,north_america,pre_lockdown,112.24,0.52997,0.47003
2020-01-02,north_america,pre_lockdown,110.63,0.57234,0.42766
2020-01-03,north_america,pre_lockdown,112.48,0.54797,0.45203
2020-01-04,north_america,pre_lockdown,111.37,0.52501,0.47499
2020-01-05,north_america,pre_lockdown,113.47,0.50481,0.49519
2020-01-06,north_america,pre_lockdown,113.54,0.57525,0.42475
2020-01-07,north_america,pre_lockdown,109.46,0.57668,0.42332
2020-01-08,north_america,pre_lockdown,110.58,0.56777,0.43223
2020-01-09,north_america,pre_lockdown,112.62,0.55584,0.44416
2020-01-10,north_america,pre_lockdown,111.71,0.58459,0.41541
2020-01-11,north_america,pre_lockdown,112.09,0.51995,0.48005
2020-01-12,north_america,pre_lockdown,112.32,0.52173,0.47827
2020-01-13,north_america,pre_lockdown,111.74,0.57024,0.42976
2020-01-14,north_america,pre_lockdown,112.3,0.56538,0.43462
2020-01-15,north_america,pre_lockdown,114.35,0.54517,0.45483
2020-01-16,north_america,pre_lockdown,108.82,0.57723,0.42277
2020-01-17,north_america,pre_lockdown,112.9,0.57578,0.42422
2020-01-18,north_america,pre_lockdown,111.74,0.5097,0.4903
2020-01-19,north_america,pre_lockdown,109.43,0.51871,0.48129
2020-01-20,north_america,pre_lockdown,108.56,0.57725,0.42275
2020-01-21,north_america,pre_lockdown,118.58,0.56518,0.43482
2020-01-22,north_america,pre_lockdown,111.04,0.59159,0.40841
2020-01-23,north_america,pre_lockdown,112.06,0.55781,0.44219
2020-01-24,north_america,pre_lockdown,113.53,0.5518,0.4482
2020-01-25,north_america,pre_lockdown,112.07,0.55095,0.44905
2020-01-26,north_america,pre_lockdown,114.21,0.50937,0.49063
2020-01-27,north_america,pre_lockdown,113.86,0.56779,0.43221
2020-01-28,north_america,pre_lockdown,112.98,0.58578,0.41422
2020-01-29,north_america,pre_lockdown,112.69,0.59556,0.40444
2020-01-30,north_america,pre_lockdown,111.83,0.56487,0.43513
2020-01-31,north_america,pre_lockdown,108.56,0.58958,0.41042
2020-02-01,north_america,pre_lockdown,113.26,0.53186,0.46814
2020-02-02,north_america,pre_lockdown,110.94,0.50441,0.49559
2020-02-03,north_america,pre_lockdown,112.58,0.57679,0.42321
2020-02-04,north_america,pre_lockdown,114.88,0.57914,0.42086
2020-02-05,north_america,pre_lockdown,115.21,0.57427,0.42573
2020-02-06,north_america,pre_lockdown,112.89,0.56808,0.43192
2020-02-07,north_america,pre_lockdown,115.43,0.58047,0.41953
2020-02-08,north_america,pre_lockdown,115.04,0.53668,0.46332
2020-02-09,north_america,pre_lockdown,113.21,0.50095,0.49905
2020-02-10,north_america,pre_lockdown,117.09,0.58253,0.41747
2020-02-11,north_america,pre_lockdown,113.83,0.57152,0.42848
2020-02-12,north_america,pre_lockdown,114.22,0.57656,0.42344
2020-02-13,north_america,pre_lockdown,114.43,0.57879,0.42121
2020-02-14,north_america,pre_lockdown,111.77,0.57773,0.42227
2020-02-15,north_america,pre_lockdown,116.64,0.51812,0.48188
2020-02-16,north_america,pre_lockdown,115.85,0.49859,0.50141
2020-02-17,north_america,pre_lockdown,112.58,0.5818,0.4182
2020-02-18,north_america,pre_lockdown,116.14,0.58236,0.41764
2020-02-19,north_america,pre_lockdown,113.34,0.58704,0.41296
2020-02-20,north_america,pre_lockdown,113.58,0.59233,0.40767
2020-02-21,north_america,pre_lockdown,110.51,0.60736,0.39264
2020-02-22,north_america,pre_lockdown,116.96,0.50833,0.49167
2020-02-23,north_america,pre_lockdown,113.81,0.48589,0.51411
2020-02-24,north_america,pre_lockdown,113.56,0.55534,0.44466
2020-02-25,north_america,pre_lockdown,113.1,0.56337,0.43663
2020-02-26,north_america,pre_lockdown,115.76,0.57567,0.42433
2020-02-27,north_america,pre_lockdown,114.26,0.55931,0.44069
2020-02-28,north_america,pre_lockdown,114.07,0.56197,0.43803
2020-02-29,north_america,pre_lockdown,115.92,0.4956,0.5044
2020-03-01,north_america,pre_lockdown,115.32,0.49432,0.50568
2020-03-02,north_america,pre_lockdown,115.1,0.54492,0.45508
2020-03-03,north_america,pre_lockdown,116.29,0.50512,0.49488
2020-03-04,north_america,pre_lockdown,110.95,0.54038,0.45962
2020-03-05,north_america,pre_lockdown,112.47,0.51478,0.48522
2020-03-06,north_america,pre_lockdown,114.76,0.49832,0.50168
2020-03-07,north_america,pre_lockdown,115.76,0.41082,0.58918
2020-03-08,north_america,pre_lockdown,117.7,0.40236,0.59764
2020-03-09,north_america,pre_lockdown,118.24,0.45668,0.54332
2020-03-10,north_america,pre_lockdown,117.05,0.40999,0.59001
2020-03-11,north_america,lockdown,117.23,0.38387,0.61613
2020-03-12,north_america,lockdown,115.54,0.40843,0.59157
2020-03-13,north_america,lockdown,117.81,0.38761,0.61239
2020-03-14,north_america,lockdown,121.77,0.30277,0.69723
2020-03-15,north_america,lockdown,118.68,0.29254,0.70746
2020-03-16,north_america,lockdown,116.67,0.33035,0.66965
2020-03-17,north_america,lockdown,116.73,0.32141,0.67859
2020-03-18,north_america,lockdown,122.65,0.30768,0.69232
2020-03-19,north_america,lockdown,122.21,0.3097,0.6903
2020-03-20,north_america,lockdown,118.36,0.30597,0.69403
2020-03-21,north_america,lockdown,119.95,0.24089,0.75911
2020-03-22,north_america,lockdown,120.36,0.24383,0.75617
2020-03-23,north_america,lockdown,119.74,0.28695,0.71305
2020-03-24,north_america,lockdown,121.92,0.27623,0.72377
2020-03-25,north_america,lockdown,118.0,0.29155,0.70845
2020-03-26,north_america,lockdown,119.44,0.27373,0.72627
2020-03-27,north_america,lockdown,124.1,0.24778,0.75222
2020-03-28,north_america,lockdown,122.13,0.20941,0.79059
2020-03-29,north_america,lockdown,123.05,0.23476,0.76524
2020-03-30,north_america,lockdown,120.95,0.26713,0.73287
2020-03-31,north_america,lockdown,123.61,0.28075,0.71925
2020-04-01,north_america,lockdown,119.7,0.27831,0.72169
2020-04-02,north_america,lockdown,122.61,0.27076,0.72924
2020-04-03,north_america,lockdown,122.44,0.28621,0.71379
2020-04-04,north_america,lockdown,122.22,0.22255,0.77745
2020-04-05,north_america,lockdown,120.99,0.21617,0.78383
2020-04-06,north_america,lockdown,120.05,0.25539,0.74461
2020-04-07,north_america,lockdown,121.42,0.27555,0.72445
2020-04-08,north_america,lockdown,125.16,0.27338,0.72662
2020-04-09,north_america,lockdown,120.31,0.26791,0.73209
2020-04-10,north_america,lockdown,123.48,0.28142,0.71858
2020-04-11,north_america,lockdown,123.89,0.24221,0.75779
2020-04-12,north_america,lockdown,122.23,0.22151,0.77849
2020-04-13,north_america,lockdown,124.27,0.27472,0.72528
2020-04-14,north_america,lockdown,122.26,0.2586,0.7414
2020-04-15,north_america,lockdown,122.23,0.26153,0.73847
2020-04-16,north_america,lockdown,120.12,0.26617,0.73383
2020-04-17,north_america,lockdown,125.57,0.24746,0.75254
2020-04-18,north_america,lockdown,121.76,0.2112,0.7888
2020-04-19,north_america,lockdown,121.04,0.2268,0.7732
2020-04-20,north_america,lockdown,124.18,0.29818,0.70182
2020-04-21,north_america,lockdown,124.17,0.29341,0.70659
2020-04-22,north_america,lockdown,120.99,0.27166,0.72834
2020-04-23,north_america,lockdown,123.99,0.26958,0.73042
2020-04-24,north_america,lockdown,125.16,0.27568,0.72432
2020-04-25,north_america,lockdown,123.05,0.21667,0.78333
2020-04-26,north_america,lockdown,123.62,0.2175,0.7825
2020-04-27,north_america,lockdown,124.23,0.28343,0.71657
2020-04-28,north_america,lockdown,125.46,0.24578,0.75422
2020-04-29,north_america,lockdown,122.35,0.28827,0.71173
2020-04-30,north_america,lockdown,125.61,0.25505,0.74495
2020-05-01,north_america,lockdown,121.61,0.26527,0.73473
2020-05-02,north_america,lockdown,126.45,0.21012,0.78988
2020-05-03,north_america,lockdown,126.25,0.219,0.781
2020-05-04,north_america,lockdown,120.45,0.2779,0.7221
2020-05-05,north_america,lockdown,124.4,0.26789,0.73211
2020-05-06,north_america,lockdown,124.76,0.28061,0.71939
2020-05-07,north_america,lockdown,122.78,0.27709,0.72291
2020-05-08,north_america,lockdown,126.87,0.25564,0.74436
2020-05-09,north_america,lockdown,125.38,0.22186,0.77814
2020-05-10,north_america,lockdown,125.66,0.22678,0.77322
2020-05-11,north_america,lockdown,122.68,0.27034,0.72966
2020-05-12,north_america,lockdown,123.96,0.27222,0.72778
2020-05-13,north_america,lockdown,127.12,0.26971,0.73029
2020-05-14,north_america,lockdown,126.52,0.27834,0.72166
2020-05-15,north_america,lockdown,126.23,0.27158,0.72842
2020-05-16,north_america,lockdown,123.9,0.21244,0.78756
2020-05-17,north_america,lockdown,126.09,0.23284,0.76716
2020-05-18,north_america,lockdown,125.64,0.262,0.738
2020-05-19,north_america,lockdown,124.85,0.25192,0.74808
2020-05-20,north_america,lockdown,124.52,0.27176,0.72824
2020-05-21,north_america,lockdown,125.39,0.29185,0.70815
2020-05-22,north_america,lockdown,124.93,0.24961,0.75039
2020-05-23,north_america,lockdown,123.59,0.21829,0.78171
2020-05-24,north_america,lockdown,121.8,0.21686,0.78314
2020-05-25,north_america,lockdown,124.93,0.25934,0.74066
2020-05-26,north_america,lockdown,127.0,0.2598,0.7402
2020-05-27,north_america,lockdown,122.99,0.30139,0.69861
2020-05-28,north_america,lockdown,126.62,0.27355,0.72645
2020-05-29,north_america,lockdown,122.31,0.27321,0.72679
2020-05-30,north_america,lockdown,121.69,0.21387,0.78613
2020-05-31,north_america,lockdown,125.34,0.24645,0.75355
2020-06-01,north_america,lockdown,126.44,0.27642,0.72358
2020-06-02,north_america,lockdown,123.03,0.27928,0.72072
2020-06-03,north_america,lockdown,124.72,0.25527,0.74473
2020-06-04,north_america,lockdown,124.76,0.2923,0.7077
2020-06-05,north_america,lockdown,124.9,0.27151,0.72849
2020-06-06,north_america,lockdown,126.97,0.22229,0.77771
2020-06-07,north_america,lockdown,128.23,0.22302,0.77698
2020-06-08,north_america,lockdown,126.02,0.27691,0.72309
2020-06-09,north_america,lockdown,130.41,0.26035,0.73965
2020-06-10,north_america,lockdown,124.59,0.29171,0.70829
2020-06-11,north_america,lockdown,125.13,0.28255,0.71745
2020-06-12,north_america,lockdown,124.5,0.30504,0.69496
2020-06-13,north_america,lockdown,123.04,0.26267,0.73733
2020-06-14,north_america,lockdown,126.78,0.26429,0.73571
2020-06-15,north_america,lockdown,127.06,0.31585,0.68415
2020-06-16,north_america,lockdown,124.8,0.28574,0.71426
2020-06-17,north_america,lockdown,127.45,0.30173,0.69827
2020-06-18,north_america,lockdown,124.63,0.3041,0.6959
2020-06-19,north_america,lockdown,126.45,0.31006,0.68994
2020-06-20,north_america,lockdown,125.36,0.2583,0.7417
2020-06-21,north_america,lockdown,130.84,0.26214,0.73786
2020-06-22,north_america,lockdown,122.63,0.31439,0.68561
2020-06-23,north_america,lockdown,128.04,0.31685,0.68315
2020-06-24,north_america,lockdown,129.31,0.34268,0.65732
2020-06-25,north_america,lockdown,127.26,0.31686,0.68314
2020-06-26,north_america,lockdown,127.67,0.33588,0.66412
2020-06-27,north_america,lockdown,128.84,0.27677,0.72323
2020-06-28,north_america,lockdown,126.65,0.29439,0.70561
2020-06-29,north_america,lockdown,127.52,0.34245,0.65755
2020-06-30,north_america,lockdown,127.73,0.34478,0.65522
2020-07-01,north_america,reopening,125.0,0.35467,0.64533
2020-07-02,north_america,reopening,125.51,0.34583,0.65417
2020-07-03,north_america,reopening,125.0,0.35725,0.64275
2020-07-04,north_america,reopening,128.99,0.34074,0.65926
2020-07-05,north_america,reopening,125.8,0.31213,0.68787
2020-07-06,north_america,reopening,128.93,0.35623,0.64377
2020-07-07,north_america,reopening,125.45,0.38752,0.61248
2020-07-08,north_america,reopening,131.12,0.37722,0.62278
2020-07-09,north_america,reopening,127.71,0.39009,0.60991
2020-07-10,north_america,reopening,128.92,0.41535,0.58465
2020-07-11,north_america,reopening,129.6,0.31758,0.68242
2020-07-12,north_america,reopening,125.0,0.33997,0.66003
2020-07-13,north_america,reopening,130.04,0.40861,0.59139
2020-07-14,north_america,reopening,129.54,0.3851,0.6149
2020-07-15,north_america,reopening,129.37,0.43363,0.56637
2020-07-16,north_america,reopening,125.94,0.41092,0.58908
2020-07-17,north_america,reopening,129.1,0.42575,0.57425
2020-07-18,north_america,reopening,130.67,0.35156,0.64844
2020-07-19,north_america,reopening,124.82,0.37,0.63
2020-07-20,north_america,reopening,124.68,0.43367,0.56633
2020-07-21,north_america,reopening,130.07,0.43529,0.56471
2020-07-22,north_america,reopening,130.55,0.4534,0.5466
2020-07-23,north_america,reopening,126.75,0.41978,0.58022
2020-07-24,north_america,reopening,125.72,0.42869,0.57131
2020-07-25,north_america,reopening,130.37,0.36729,0.63271
2020-07-26,north_america,reopening,127.8,0.35918,0.64082
2020-07-27,north_america,reopening,128.92,0.41595,0.58405
2020-07-28,north_america,reopening,126.42,0.4259,0.5741
2020-07-29,north_america,reopening,128.7,0.44633,0.55367
2020-07-30,north_america,reopening,131.0,0.41985,0.58015
2020-07-31,north_america,reopening,126.33,0.44996,0.55004
2020-08-01,north_america,reopening,128.12,0.3864,0.6136
2020-08-02,north_america,reopening,126.61,0.3923,0.6077
2020-08-03,north_america,reopening,125.53,0.46271,0.53729
2020-08-04,north_america,reopening,132.24,0.44453,0.55547
2020-08-05,north_america,reopening,131.02,0.45294,0.54706
2020-08-06,north_america,reopening,124.8,0.45754,0.54246
2020-08-07,north_america,reopening,131.03,0.46217,0.53783
2020-08-08,north_america,reopening,127.79,0.40937,0.59063
2020-08-09,north_america,reopening,127.39,0.37172,0.62828
2020-08-10,north_america,reopening,129.87,0.45357,0.54643
2020-08-11,north_america,reopening,129.68,0.41389,0.58611
